uid	error_rate	avg_char_duration	screen_size	swipe_finger
003t6nt1ppo92gsagrn9op9mjg	2.875	566.5180555555555	273600	Thumb
0069j4rbe1si9pjqgfhks8sprm	0.07407407407407407	451270.32952728344	339076	Thumb
00h10g2j0m7vujuscdvispdkub	0.17037037037037037	506.16980866869756	280800	Index
01rg5cvptn05eag69m0gckjer9	0.2	300.0448232323232	370944	Thumb
038qovd34aj82cqc9ip8fqu6sc	0.10144927536231885	346.9027832674572	230400	Thumb
03ft0n5ol992m393fb9lpc0uqt	0.3582089552238806	116.75444207533761	370944	Index
03rfss9shetb8h3n7aq70j1sjj	0.08823529411764706	188.82988180120532	370944	Index
06c848png23tueouglo78fhhbb	0.015384615384615385	120.78713064713065	370944	Thumb
06moimg3q3vik8l6a3iqhsei4j	0.05217391304347826	200.90824769433468	230400	Thumb
091v425ipps7umcs8638i8clr1	0.463768115942029	223.8301906225819	250125	Index
098t7d8nvvtoc0eefgrverbr3n	0.5522388059701493	389.97667887667893	280800	Thumb
0bocrprri5cb6ajrumc4s3r0j3	0.0	291.86517857142854	358028	Thumb
0cgivjmfvr7jnqqpcdo5jggqrp	0.08641975308641975	251.8176424963925	230400	Thumb
0d9jm31uflsgr9e7o9uss8b1gv	0.03125	4045.0621336996337	273600	Thumb
0dvm82ctd55l4pqkr26gj8ef13	0.38461538461538464	286.5557624193988	182080	Thumb
0ekfmgdjqdm8g87sahosujftp8	0.18181818181818182	270.2112554112554	389232	Thumb
0f29l241oicoro0crftndffftu	0.0	2756.834613375131	230400	Index
0fbj5a2f6qa15fg3ct88vsv5fs	0.0	319.18265306122447	230400	Thumb
0i2sopphm63aj2knmt0mmgt0eg	0.06060606060606061	208.00545935545938	230400	Thumb
0ihu4fa7ilvhrge9bb8vdis0d4	0.11940298507462686	120.18893034825871	304500	Thumb
0iisdf0upld8reka2p0jve6ds0	0.0	373.8333333333333	301584	Thumb
0j6q09do0nng7a3hnle567fdol	0.171875	332.9039310515873	250125	Thumb
0jqd4um0gif3nk92trgu23qs48	0.078125	1740.2327017600455	273600	Thumb
0kn0q7nuaf1kmc4udc7ems56dh	0.10218978102189781	162.80875801003538	259200	Thumb
0kvs7d6qn3qesp7sjkgjsd4gtv	0.015384615384615385	156.5318076795	370944	Index
0l2qio2mtgtv7nhkllcqj8jgbe	0.2033898305084746	134.50779526499866	280800	Index
0l6u4kv1aag7b0ok7qaq241sqn	0.2608695652173913	317.1802334943639	259200	Thumb
0leq9i4m5bff1e8tu92o2qr4u0	0.2553191489361702	400.41904761904755	250125	Thumb
0lo6rutaudst3p9lh235a36dfb	13.5	833.25	230400	Thumb
0lr93uckpa3086de6homa94vn0	0.7796610169491526	203.69007141634262	370944	Other
0m8oha2uup5dptbanhrnia667t	0.4074074074074074	172.15438268995962	230400	Thumb
0msee0md66vcodqrp9spoedc9r	0.23076923076923078	315.58721667221664	370944	Thumb
0nr1ib5m909k65fffkonftokvv	0.017241379310344827	2816.9699072000794	273600	Thumb
0o3v5glg1ir4lqr5vfpv94smmp	0.06557377049180328	161.62109679937547	358028	Thumb
0p3e8p7qdeti2ci3ppbc8kdd8c	0.4225352112676056	276.164475743349	250125	Thumb
0q1sat7ola2osk0ohdtciaboba	0.078125	473.82791024080086	230400	Thumb
0r0a1d8rhhlj2mjgb40e1e7eb2	1.375	361.2552645502646	376980	Thumb
0r6psesa9jtukcnhiuqrdibpk7	0.14516129032258066	132.6402078656111	439850	Thumb
0rq59tf6ujjc82rqe4rrk330hi	2.3333333333333335	73.8	301584	Thumb
0sbfto68uvc9br1ul4b9a0ebqg	0.0	185.98826530612246	304704	Thumb
0spilprrjphc0l81t2a52uao2u	0.3157894736842105	418.94177109440267	273600	Thumb
0ufegpai6ov6o50mec2hlnh3nt	0.03759398496240601	3032.8438691425536	304500	Thumb
0una7ed4ohd4oklbfmijr92uq0	0.09375	132.41615762709515	304500	Thumb
0utue8rico7grfpgd0odffj6il	0.09375	191.98282394688647	348552	Thumb
0v1dljhskkp96ljbongsf95mm2	0.6338028169014085	253.92748663699368	927408	Thumb
11m198onvadaf6pb2ji9kp4kr9	0.06666666666666667	284.3725456535802	250125	Index
1223tr5f9fe26quv25gtncmv8s	0.05343511450381679	173.34500897745176	370944	Thumb
124p7a10vadpv7d0rk37oiv3g5	0.14925373134328357	228.91298916672048	358028	Index
137ra6h957ea5vojahrvhf12ke	0.2857142857142857	131.5595238095238	280800	Thumb
15418ieqgmgvfcdb16dq3qorce	0.03125	377.69346664620105	273600	Thumb
15mihbgtgpvs2u7o3doi15bir9	0.0	162.26439350579977	280800	Thumb
171vhums1pnk8slbi31m2u7fcr	0.7	387.1096225412015	269280	Other
17kgfne9gsi7dd4uo5rkn5v5h6	0.14285714285714285	2204.292102562341	259200	Thumb
17st0afor2vhnaa27ig1qlm8gc	0.04918032786885246	251.17521763300454	348552	Index
185dt72aiqbvp1ifefepqmb3ih	0.1232876712328767	469.4539688089688	230400	Thumb
187ek49l68dkqc5ml3rbo6rejm	0.09375	214.12412179834052	304500	Thumb
18fejrhkopnq6mqqvi6pi8c2er	0.045454545454545456	382.4271776203595	370944	Index
19hubm5jt63707ejbcnkimlr08	0.8533333333333334	302.04858201058204	230400	Index
19qrnicvir9817joijlmg52afq	0.68	423.26727130396483	266400	Index
1al76494lgiqcqv48i7r2abrsd	0.0625	4967.244612570588	334443	Thumb
1ar6uaqp7nfphssn5n9ebrte2v	0.06451612903225806	2882.938344854071	230400	Thumb
1b5nob75bo90tbskp56kp33gq8	0.13846153846153847	279.2229931179931	370944	Thumb
1bghv3mbruun75m1mhl053et4t	0.09016393442622951	1366.2971118362511	348552	Thumb
1bohqoqf11runeteiig4ik70j7	0.09523809523809523	157.31557067271353	348552	Thumb
1cumjqli3h1faikj78mp8fcaig	0.3333333333333333	704.3449815616482	301584	Index
1d2b9ttq9k75ruuhljaq8t09bt	0.25	287.36174126993456	280800	Thumb
1da628okrg8ope1ia04aqfsvu7	0.125	186.86517857142857	334443	Thumb
1duum6mrmtm6vbrina22oiuf59	0.35294117647058826	249.58794642857146	280800	Thumb
1e9jiev6cofgu3nisolldhr8t4	0.16666666666666666	300.44	259200	Thumb
1eq3lrfih285jt26l5u9oulbu3	0.2698412698412698	510.3763671513671	304500	Other
1evbgh3q4m9rr0i7dn1mfc2ser	0.0962962962962963	316.8036668270002	367504	Index
1f7khirs00bdo9nmpqjndh7p6j	0.0	603.1182998819363	334443	Thumb
1g4ptn18hj9i3k7vqa8bkivkmj	0.0	294.6944444444444	277920	Thumb
1grug5pdvi8jgut74ogaej9k9u	0.045454545454545456	283.06849392190304	319272	Thumb
1hfgbj8ri6ms1ojpkfudk893sc	0.23333333333333334	332.33541486291483	280800	Thumb
1ib8tc83fkt64o7em0i10u8ms0	0.11666666666666667	1964.7938840788843	204800	Index
