part	screen_size	swipe_finger	ew1	ew2	ew3	ew4	ew5	ew6	ew7	ew8	ew9	ew10	ew11	ew12	ew13	ew14	ew15	ew16	ew17	ew18	ew19	ew20	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
0069j4rbe1si9pjqgfhks8sprm	Big	Thumb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	205.0	179.0	205.66666666666666	145.33333333333334	87.25	94.2	18.5	61.333333333333336	217.5	171.75	152.83333333333334	166.0	141.33333333333334	172.0	133.25	179.5	106.2	147.0	200.33333333333334
00h10g2j0m7vujuscdvispdkub	Big	Index	0.0	0.6266666666666667	0.0	0.0	0.10084033613445378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	731.1666666666666	851.2857142857143	544.6666666666666	687.0	691.2	347.6666666666667	496.7142857142857	442.6666666666667	302.0	661.8571428571429	473.5	506.25	394.5	166.0	481.0	624.1666666666666	272.3333333333333	386.75	809.5714285714286	470.5
01rg5cvptn05eag69m0gckjer9	Big	Thumb	0.0	0.3782608695652174	0.0	0.0	0.0	0.0	0.5079365079365079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6911764705882353	0.0	0.0	0.0	282.2	469.875	270.6	531.8333333333334	157.0	384.0	162.0	531.0	361.6	585.4285714285714	653.3	172.33333333333334	242.16666666666666	137.66666666666666	183.75	451.3333333333333	543.2222222222222	490.6666666666667	489.8	234.0
038qovd34aj82cqc9ip8fqu6sc	Small	Thumb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.357142857142854	348.0	546.7142857142857	459.1666666666667	722.1428571428571	277.875	183.0	263.3333333333333	446.0	279.5	775.375	324.57142857142856	305.8	200.0	295.6666666666667	177.0	351.0	296.6666666666667	606.75	323.0
03ft0n5ol992m393fb9lpc0uqt	Big	Index	0.0	0.0	0.49333333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47474747474747475	0.660377358490566	0.0	0.0	0.0	0.0	0.0	0.0	134.1	166.83333333333334	109.25	167.0	113.2	122.33333333333333	105.8	96.0	139.0	102.33333333333333	113.83333333333333	117.71428571428571	78.33333333333333	134.5	110.5	119.5	194.83333333333334	121.375	133.0	97.0
03rfss9shetb8h3n7aq70j1sjj	Big	Index	0.0	0.0	0.0	0.0	0.0	0.0	0.5864197530864198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197.16666666666666	199.5	181.25	152.5	270.375	144.5	174.0	152.42857142857142	193.75	171.5	120.66666666666667	179.0	125.0	175.0	197.0	160.0	192.25	533.5	144.66666666666666	150.0
06c848png23tueouglo78fhhbb	Big	Thumb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	173.8	100.25	115.2	132.28571428571428	150.28571428571428	119.5	122.5	163.71428571428572	134.85714285714286	132.375	146.8	115.2	120.0	125.28571428571429	82.0	91.0	151.66666666666666	132.2	76.25
06moimg3q3vik8l6a3iqhsei4j	Small	Thumb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8135593220338984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	302.75	197.16666666666666	292.1666666666667	159.0	156.66666666666666	318.1818181818182	364.5	300.6666666666667	377.6	133.0	153.0	164.71428571428572	159.66666666666666	228.0	144.66666666666666	235.44444444444446	233.16666666666666	178.0	261.8888888888889	282.3333333333333
091v425ipps7umcs8638i8clr1	Small	Index	0.8695652173913043	0.0	0.2892857142857143	0.2892857142857143	0.2892857142857143	0.0	0.0	0.0	0.0	0.0	0.43478260869565216	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.4083333333333333	0.0	0.0	224.66666666666666	168.75	128.0	111.5	159.5	203.33333333333334	124.66666666666667	173.75	140.0	242.33333333333334	255.83333333333334	238.2	215.25	314.54545454545456	158.0	218.375	44.333333333333336	750.2	359.875	220.28571428571428
098t7d8nvvtoc0eefgrverbr3n	Big	Thumb	0.9230769230769231	0.42	0.7664233576642335	0.5470588235294118	0.0	0.0	0.0	0.0	0.38873239436619716	0.39195979899497485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.66666666666667	254.88888888888889	170.66666666666666	4.230769230769231	58.77777777777778	299.7142857142857	75.0	259.5	245.5	302.2	159.75	183.5	241.4	134.5	346.3333333333333	266.8	422.42857142857144	84.0	261.3333333333333	237.75
0cgivjmfvr7jnqqpcdo5jggqrp	Small	Thumb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6551724137931034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	246.4	255.6	243.5	199.5	221.0	243.375	244.16666666666666	300.2	186.66666666666666	313.5	233.33333333333334	259.3333333333333	418.375	258.57142857142856	298.125	348.2857142857143	233.57142857142858	245.42857142857142	244.55555555555554	197.5
0d9jm31uflsgr9e7o9uss8b1gv	Small	Thumb	0.0	0.0	0.0	0.38848920863309355	0.0	0.0	0.0	0.0	0.0	0.0	0.27102803738317754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.0	375.0	586.5	303.875	47856.666666666664	36456.25	36496.25	72862.0	47763.0	261.0	247.8	295.7	280.3333333333333	319.8333333333333	271.5	228.5	185.66666666666666	213.6	471.4	483.4166666666667
0dvm82ctd55l4pqkr26gj8ef13	Small	Thumb	0.0	0.0	0.4731182795698925	0.25925925925925924	0.4032258064516129	0.0	0.0	0.2828282828282828	0.0	0.0	0.991701244813278	0.5737327188940092	0.0	0.0	0.16216216216216217	0.0	0.0	0.0	0.07865168539325842	0.51	273.0	247.33333333333334	292.6	152.5	238.66666666666666	168.33333333333334	120.0	314.8	185.66666666666666	103.0	209.25	182.75	139.5	297.0	122.5	312.0	213.0	611.0	152.33333333333334	210.0
0f29l241oicoro0crftndffftu	Small	Index	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.33333333333334	277.0	390.6666666666667	350.0	439.0	295.0	278.75	160.5	306.42857142857144	292.5	238.0	249.0	149.0	262.25	418.8333333333333	300.75	390.6666666666667	381.5	752.625	344.0
0i2sopphm63aj2knmt0mmgt0eg	Small	Thumb	0.0	0.0	0.0	0.0	0.35353535353535354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.83333333333334	61.8	208.11111111111111	205.0	286.5	189.33333333333334	186.33333333333334	176.25	118.5	207.5	198.83333333333334	181.66666666666666	241.5	224.5	234.25	56.0	281.4	212.75	204.0	174.0
0ihu4fa7ilvhrge9bb8vdis0d4	Big	Thumb	0.0	0.5132743362831859	0.4067796610169492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.875	136.75	114.5	157.66666666666666	127.11111111111111	146.66666666666666	137.0	148.14285714285714	123.0	153.4	121.5	62.333333333333336	155.0	121.0	127.6	71.25	120.25	130.0	120.33333333333333	91.75
0j6q09do0nng7a3hnle567fdol	Small	Thumb	0.0	0.0	0.0	0.0	0.0	0.0	0.43175487465181056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	376.0	337.5	329.0	462.2	332.8	515.6666666666666	423.0	286.55555555555554	219.5	331.3333333333333	363.5	335.8333333333333	534.7	402.0	315.0	429.8	488.0	444.75	481.0	363.5
0jqd4um0gif3nk92trgu23qs48	Small	Thumb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3860045146726862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3267605633802817	0.0	279.0	1090.25	417.75	746.4285714285714	472.0	847.8571428571429	231.0	303.25	366.0	223.0	362.0	316.2	550.4285714285714	356.75	173.0	502.3636363636364	445.0	858.1538461538462	326.0	650.625
0kn0q7nuaf1kmc4udc7ems56dh	Small	Thumb	0.0	0.0	0.0	0.0	0.0	0.0	0.3435374149659864	0.0	0.0	0.3063063063063063	0.0	0.0	0.0	0.23076923076923078	0.0	0.0	0.0	0.0	0.0	0.0	151.72727272727272	162.5	180.0	145.2	112.0	210.44444444444446	172.0	225.4	227.66666666666666	163.4	180.125	163.8181818181818	205.0	164.0	149.33333333333334	137.83333333333334	178.22222222222223	132.33333333333334	210.91666666666666	225.41666666666666
0kvs7d6qn3qesp7sjkgjsd4gtv	Big	Index	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.63636363636363	199.125	150.25	143.8	61.0	134.33333333333334	195.5	122.6	112.0	115.83333333333333	124.0	148.0	145.33333333333334	115.25	125.33333333333333	106.33333333333333	117.25	81.0	266.2	161.8
0l2qio2mtgtv7nhkllcqj8jgbe	Big	Index	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10227272727272728	0.0	0.6687898089171974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.66666666666666	151.0	210.0	159.5	115.0	147.3	149.22222222222223	151.42857142857142	121.33333333333333	94.33333333333333	117.0	210.0	127.66666666666667	120.5	156.0	137.16666666666666	149.6	146.5	10.571428571428571	245.85714285714286
